#Procedure: <__main__.SpinLabMeasurement>
#Parameters:
#	Analyzer address: None
#	DAQ address: Dev4/ao0
#	Gaussmeter address: GPIB1::12::INSTR
#	Generator address: None
#	LF Generator address: None
#	Lockin address: None
#	Multimeter address: None
#	Pulse generator address: GPIB1::23::INSTR
#	Relay address: None
#	RotationStation address: COM4
#	Sourcemeter address: GPIB1::26::INSTR
#	Switch address: None
#	Set Constant Field Value: 0 Oe
#	Delay Bias: 1 s
#	Delay Field: 0.5 s
#	Delay Lockin: 0.1 s
#	Delay sourcemeter measurement: 1 s
#	Set Field Bias Value: -40 Oe
#	Field Calibration Constant: -0.00272459
#	Field sweep step: 50 Oe
#	Gaussmeter Range: 5
#	Gaussmeter Resolution: 3 digits
#	Generator Frequency: 1e+09 Hz
#	Generator Power: -20 dBm
#	Hold the field after measurement: False
#	LF Generator Amplitude: 2 V
#	LF Generator Frequency: 330 Hz
#	Lockin Autophase: False
#	Lockin Average: 20
#	Lockin Channel 1: X
#	Lockin Channel 2: Y
#	Lockin Dynamic Reserve: Normal
#	Lockin Frequency: 384 Hz
#	Lockin Harmonic: 1
#	Lockin Input Connection: A
#	Lockin Input Coupling: AC
#	Lockin Reference Source: Internal
#	Lockin Sensitivity: 50 uV/pA
#	Lockin Sine Amplitude: 5 V
#	Lockin Time Constant: 30 ms
#	Mode: ResistanceMode
#	Use relays: True
#	FMR Mode: V-FMR
#	Harmonic mode: Field harmonic
#	4-points: False
#	Multimeter autorange: True
#	Multimeter average: 1
#	Multimeter function: DCV
#	Multimeter NPLC: 10
#	Multimeter range: 10
#	Multimeter resolution: 0.01
#	pulsegenerator channel: Channel A
#	Pulsegenerator compliance: 0.5
#	pulsegenerator duration: 0.005
#	pulsegenerator offset: 0
#	pulsegenerator pulsetype: VOLT
#	Pulsegenerator sourcerange: 5
#	Remagnetize sample: True
#	Remagnetization time: 2 s
#	Remagnetization value: -300 Oe
#	Remanency correction: False
#	Return the rotationstation: False
#	Rotation axis: Polar
#	Azimuthal constant angle: 0
#	Polar constant angle: 0
#	Sample name: 12102f_1,6
#	Vector Analyzer: VectorAnalyzer
#	Automatic Station: False
#	Set azimuthal angle: 0 Deg
#	Magnetic Field: DAQ
#	Set Constant Field Value: 10 Oe
#	Set Constant Field Value: 0 Oe
#	Gaussmeter: Lakeshore
#	RF Generator: Agilent
#	Kriostat: False
#	LF Generator: SR830
#	Lockin: SR830
#	Multimeter: none
#	Set polar angle: 0 Deg
#	Pulse Generator: Agilent 2912
#	External relay: none
#	Rotation Station: False
#	Rotation Station for constant angle: True
#	Sourcemeter: Keithley 2636
#	Switch: False
#	Sourcemeter average: 1
#	Sourcemeter bias: 0.1
#	Sourcemeter CH: Channel A
#	Sourcemeter compliance: 0.1
#	Sourcemeter limit: 2
#	Sourcemeter NPLC: 0.1
#	Sourcemeter Source: VOLT
#	Vector: -300,50,300,-300
#Data:
Voltage (V),Current (A),Resistance (ohm),Field (Oe),Frequency (Hz),X (V),Y (V),Phase,Polar angle (deg),Azimuthal angle (deg),Applied Voltage (V)
0.1,6.1746e-05,1619.538107731675,-96.0,nan,nan,nan,nan,nan,nan,nan
0.1,6.17356e-05,1619.8109356675889,-285.8,nan,nan,nan,nan,nan,nan,nan
0.1,6.17231e-05,1620.1389755213204,-314.1,nan,nan,nan,nan,nan,nan,nan
0.1,6.16737e-05,1621.4366901937133,-301.6,nan,nan,nan,nan,nan,nan,nan
0.1,6.16305e-05,1622.573238899571,-288.9,nan,nan,nan,nan,nan,nan,nan
0.1,6.15921e-05,1623.5848428613413,-275.9,nan,nan,nan,nan,nan,nan,nan
0.1,6.15344e-05,1625.1072570789675,-263.1,nan,nan,nan,nan,nan,nan,nan
0.1,6.14966e-05,1626.1061587144657,-251.1,nan,nan,nan,nan,nan,nan,nan
0.1,6.14542e-05,1627.228082051349,-237.6,nan,nan,nan,nan,nan,nan,nan
0.1,6.14084e-05,1628.4417115573765,-224.5,nan,nan,nan,nan,nan,nan,nan
0.1,6.13526e-05,1629.9227742589555,-210.9,nan,nan,nan,nan,nan,nan,nan
0.1,6.12788e-05,1631.8857418878963,-197.7,nan,nan,nan,nan,nan,nan,nan
0.1,6.12166e-05,1633.5438426831936,-185.4,nan,nan,nan,nan,nan,nan,nan
0.1,6.11687e-05,1634.823038580189,-172.0,nan,nan,nan,nan,nan,nan,nan
0.1,6.1052e-05,1637.9479787721943,-158.5,nan,nan,nan,nan,nan,nan,nan
0.1,6.09834e-05,1639.7905003656733,-145.0,nan,nan,nan,nan,nan,nan,nan
0.1,6.08727e-05,1642.7725400713293,-131.9,nan,nan,nan,nan,nan,nan,nan
0.1,6.07917e-05,1644.961400980726,-119.2,nan,nan,nan,nan,nan,nan,nan
0.1,6.0596e-05,1650.273945474949,-104.9,nan,nan,nan,nan,nan,nan,nan
0.1,6.03934e-05,1655.8100719615059,-92.3,nan,nan,nan,nan,nan,nan,nan
0.1,6.02229e-05,1660.4979169053634,-78.8,nan,nan,nan,nan,nan,nan,nan
0.1,6.00306e-05,1665.8170999456945,-65.2,nan,nan,nan,nan,nan,nan,nan
0.1,5.97654e-05,1673.2089135185242,-51.5,nan,nan,nan,nan,nan,nan,nan
0.1,5.9395e-05,1683.6434043269635,-38.1,nan,nan,nan,nan,nan,nan,nan
0.1,5.85788e-05,1707.102228109828,-25.6,nan,nan,nan,nan,nan,nan,nan
0.1,5.81531e-05,1719.5987832119013,-12.1,nan,nan,nan,nan,nan,nan,nan
0.1,5.67138e-05,1763.2392821500237,1.3,nan,nan,nan,nan,nan,nan,nan
0.1,5.48533e-05,1823.0443747231252,14.8,nan,nan,nan,nan,nan,nan,nan
0.1,5.36798e-05,1862.8981479066615,28.3,nan,nan,nan,nan,nan,nan,nan
0.1,5.35562e-05,1867.1974486614063,42.2,nan,nan,nan,nan,nan,nan,nan
0.1,5.30603e-05,1884.648220986312,55.7,nan,nan,nan,nan,nan,nan,nan
0.1,5.32907e-05,1876.5000272092504,68.3,nan,nan,nan,nan,nan,nan,nan
0.1,5.40998e-05,1848.4356688934156,81.6,nan,nan,nan,nan,nan,nan,nan
