#Procedure: <__main__.SpinLabMeasurement>
#Parameters:
#	Analyzer address: None
#	DAQ address: Dev4/ao0
#	Gaussmeter address: GPIB1::12::INSTR
#	Generator address: None
#	LF Generator address: None
#	Lockin address: None
#	Multimeter address: None
#	Pulse generator address: GPIB1::23::INSTR
#	Relay address: None
#	RotationStation address: COM4
#	Sourcemeter address: GPIB1::26::INSTR
#	Switch address: None
#	Set Constant Field Value: 0 Oe
#	Delay Bias: 1 s
#	Delay Field: 0.5 s
#	Delay Lockin: 0.1 s
#	Delay sourcemeter measurement: 1 s
#	Set Field Bias Value: -40 Oe
#	Field Calibration Constant: -0.00272459
#	Field sweep step: 50 Oe
#	Gaussmeter Range: 5
#	Gaussmeter Resolution: 3 digits
#	Generator Frequency: 1e+09 Hz
#	Generator Power: -20 dBm
#	Hold the field after measurement: False
#	LF Generator Amplitude: 2 V
#	LF Generator Frequency: 330 Hz
#	Lockin Autophase: False
#	Lockin Average: 20
#	Lockin Channel 1: X
#	Lockin Channel 2: Y
#	Lockin Dynamic Reserve: Normal
#	Lockin Frequency: 384 Hz
#	Lockin Harmonic: 1
#	Lockin Input Connection: A
#	Lockin Input Coupling: AC
#	Lockin Reference Source: Internal
#	Lockin Sensitivity: 50 uV/pA
#	Lockin Sine Amplitude: 5 V
#	Lockin Time Constant: 30 ms
#	Mode: ResistanceMode
#	Use relays: True
#	FMR Mode: V-FMR
#	Harmonic mode: Field harmonic
#	4-points: False
#	Multimeter autorange: True
#	Multimeter average: 1
#	Multimeter function: DCV
#	Multimeter NPLC: 10
#	Multimeter range: 10
#	Multimeter resolution: 0.01
#	pulsegenerator channel: Channel A
#	Pulsegenerator compliance: 0.5
#	pulsegenerator duration: 0.005
#	pulsegenerator offset: 0
#	pulsegenerator pulsetype: VOLT
#	Pulsegenerator sourcerange: 5
#	Remagnetize sample: True
#	Remagnetization time: 2 s
#	Remagnetization value: -300 Oe
#	Remanency correction: False
#	Return the rotationstation: False
#	Rotation axis: Polar
#	Azimuthal constant angle: 0
#	Polar constant angle: 0
#	Sample name: 12102f_1,6
#	Vector Analyzer: VectorAnalyzer
#	Automatic Station: False
#	Set azimuthal angle: 90 Deg
#	Magnetic Field: DAQ
#	Set Constant Field Value: 10 Oe
#	Set Constant Field Value: 0 Oe
#	Gaussmeter: Lakeshore
#	RF Generator: Agilent
#	Kriostat: False
#	LF Generator: SR830
#	Lockin: SR830
#	Multimeter: none
#	Set polar angle: 0 Deg
#	Pulse Generator: Agilent 2912
#	External relay: none
#	Rotation Station: False
#	Rotation Station for constant angle: True
#	Sourcemeter: Keithley 2636
#	Switch: False
#	Sourcemeter average: 1
#	Sourcemeter bias: 0.1
#	Sourcemeter CH: Channel A
#	Sourcemeter compliance: 0.1
#	Sourcemeter limit: 2
#	Sourcemeter NPLC: 0.1
#	Sourcemeter Source: VOLT
#	Vector: -300,50,300,50,-300
#Data:
Voltage (V),Current (A),Resistance (ohm),Field (Oe),Frequency (Hz),X (V),Y (V),Phase,Polar angle (deg),Azimuthal angle (deg),Applied Voltage (V)
0.1,6.15409e-05,1624.9356119263773,-95.0,nan,nan,nan,nan,nan,nan,nan
0.1,6.14914e-05,1626.2436698465153,-286.1,nan,nan,nan,nan,nan,nan,nan
0.1,6.14446e-05,1627.4823174046214,-313.8,nan,nan,nan,nan,nan,nan,nan
0.1,6.14484e-05,1627.3816730785506,-301.2,nan,nan,nan,nan,nan,nan,nan
0.1,6.13776e-05,1629.2588827194286,-288.4,nan,nan,nan,nan,nan,nan,nan
0.1,6.13264e-05,1630.6191134650005,-275.5,nan,nan,nan,nan,nan,nan,nan
0.1,6.1238e-05,1632.972990626735,-263.1,nan,nan,nan,nan,nan,nan,nan
0.1,6.12048e-05,1633.858782317727,-249.9,nan,nan,nan,nan,nan,nan,nan
0.1,6.11406e-05,1635.5743973726132,-236.4,nan,nan,nan,nan,nan,nan,nan
0.1,6.10829e-05,1637.1193902057696,-223.4,nan,nan,nan,nan,nan,nan,nan
0.1,6.10263e-05,1638.6377676509965,-210.2,nan,nan,nan,nan,nan,nan,nan
0.1,6.09741e-05,1640.0406074054395,-197.0,nan,nan,nan,nan,nan,nan,nan
0.1,6.08989e-05,1642.0657844394564,-184.6,nan,nan,nan,nan,nan,nan,nan
0.1,6.08473e-05,1643.4582964239992,-171.1,nan,nan,nan,nan,nan,nan,nan
0.1,6.08154e-05,1644.3203530684664,-157.8,nan,nan,nan,nan,nan,nan,nan
0.1,6.07189e-05,1646.9336565715125,-144.2,nan,nan,nan,nan,nan,nan,nan
0.1,6.0637e-05,1649.158104787506,-130.9,nan,nan,nan,nan,nan,nan,nan
0.1,6.05045e-05,1652.769628705303,-117.4,nan,nan,nan,nan,nan,nan,nan
0.1,6.03818e-05,1656.1281710714156,-104.0,nan,nan,nan,nan,nan,nan,nan
0.1,6.02312e-05,1660.269096415147,-91.5,nan,nan,nan,nan,nan,nan,nan
0.1,6.00578e-05,1665.062656307757,-78.0,nan,nan,nan,nan,nan,nan,nan
0.1,5.99391e-05,1668.3600521195683,-64.5,nan,nan,nan,nan,nan,nan,nan
0.1,5.9779e-05,1672.8282507234983,-51.0,nan,nan,nan,nan,nan,nan,nan
0.1,5.95487e-05,1679.297784838292,-37.5,nan,nan,nan,nan,nan,nan,nan
0.1,5.91758e-05,1689.8799847234852,-24.0,nan,nan,nan,nan,nan,nan,nan
0.1,5.85327e-05,1708.4467314851356,-11.5,nan,nan,nan,nan,nan,nan,nan
0.1,5.8045e-05,1722.8012748729436,1.7,nan,nan,nan,nan,nan,nan,nan
0.1,5.7226e-05,1747.457449411107,15.6,nan,nan,nan,nan,nan,nan,nan
0.1,5.63706e-05,1773.9743767141028,29.1,nan,nan,nan,nan,nan,nan,nan
0.1,5.52254e-05,1810.7609904138315,42.7,nan,nan,nan,nan,nan,nan,nan
0.1,5.45045e-05,1834.7108954306527,56.3,nan,nan,nan,nan,nan,nan,nan
0.1,5.3254e-05,1877.7932174108987,69.0,nan,nan,nan,nan,nan,nan,nan
0.1,5.25383e-05,1903.3733485856985,82.6,nan,nan,nan,nan,nan,nan,nan
