#Procedure: <__main__.SpinLabMeasurement>
#Parameters:
#	Analyzer address: None
#	DAQ address: Dev4/ao0
#	Gaussmeter address: GPIB1::12::INSTR
#	Generator address: None
#	LF Generator address: None
#	Lockin address: None
#	Multimeter address: None
#	Pulse generator address: GPIB1::23::INSTR
#	Relay address: None
#	RotationStation address: COM4
#	Sourcemeter address: GPIB1::26::INSTR
#	Switch address: None
#	Set Constant Field Value: 0 Oe
#	Delay Bias: 1 s
#	Delay Field: 0.5 s
#	Delay Lockin: 0.1 s
#	Delay sourcemeter measurement: 1 s
#	Set Field Bias Value: 0 Oe
#	Field Calibration Constant: -0.00272459
#	Field sweep step: 50 Oe
#	Gaussmeter Range: 5
#	Gaussmeter Resolution: 3 digits
#	Generator Frequency: 1e+09 Hz
#	Generator Power: -20 dBm
#	Hold the field after measurement: False
#	LF Generator Amplitude: 2 V
#	LF Generator Frequency: 330 Hz
#	Lockin Autophase: False
#	Lockin Average: 20
#	Lockin Channel 1: X
#	Lockin Channel 2: Y
#	Lockin Dynamic Reserve: Normal
#	Lockin Frequency: 384 Hz
#	Lockin Harmonic: 1
#	Lockin Input Connection: A
#	Lockin Input Coupling: AC
#	Lockin Reference Source: Internal
#	Lockin Sensitivity: 50 uV/pA
#	Lockin Sine Amplitude: 5 V
#	Lockin Time Constant: 30 ms
#	Mode: CIMSMode
#	Use relays: True
#	FMR Mode: V-FMR
#	Harmonic mode: Field harmonic
#	4-points: False
#	Multimeter autorange: True
#	Multimeter average: 1
#	Multimeter function: DCV
#	Multimeter NPLC: 10
#	Multimeter range: 10
#	Multimeter resolution: 0.01
#	pulsegenerator channel: Channel A
#	Pulsegenerator compliance: 0.5
#	pulsegenerator duration: 0.005
#	pulsegenerator offset: 0
#	pulsegenerator pulsetype: VOLT
#	Pulsegenerator sourcerange: 5
#	Remagnetize sample: True
#	Remagnetization time: 2 s
#	Remagnetization value: -300 Oe
#	Remanency correction: True
#	Return the rotationstation: False
#	Rotation axis: Polar
#	Azimuthal constant angle: 0
#	Polar constant angle: 0
#	Sample name: 12102f_1,6
#	Vector Analyzer: VectorAnalyzer
#	Automatic Station: False
#	Set azimuthal angle: 90 Deg
#	Magnetic Field: DAQ
#	Set Constant Field Value: 10 Oe
#	Set Constant Field Value: 0 Oe
#	Gaussmeter: Lakeshore
#	RF Generator: Agilent
#	Kriostat: False
#	LF Generator: SR830
#	Lockin: SR830
#	Multimeter: none
#	Set polar angle: 0 Deg
#	Pulse Generator: Agilent 2912
#	External relay: none
#	Rotation Station: False
#	Rotation Station for constant angle: True
#	Sourcemeter: Keithley 2636
#	Switch: False
#	Sourcemeter average: 1
#	Sourcemeter bias: 0.1
#	Sourcemeter CH: Channel A
#	Sourcemeter compliance: 0.1
#	Sourcemeter limit: 2
#	Sourcemeter NPLC: 0.1
#	Sourcemeter Source: VOLT
#	Vector: -0.1,5,-2,2,0.1,5,2,2,0.1
#Data:
Voltage (V),Current (A),Resistance (ohm),Field (Oe),Frequency (Hz),X (V),Y (V),Phase,Polar angle (deg),Azimuthal angle (deg),Applied Voltage (V)
0.1,5.79274e-05,1726.298780887801,-0.1,nan,nan,nan,nan,nan,nan,-0.1
0.1,5.79433e-05,1725.8250738221677,2.2,nan,nan,nan,nan,nan,nan,-0.575
0.1,5.78991e-05,1727.1425635286214,2.2,nan,nan,nan,nan,nan,nan,-1.05
0.1,5.7935e-05,1726.07232243031,2.3,nan,nan,nan,nan,nan,nan,-1.525
0.1,5.79281e-05,1726.277920387515,2.3,nan,nan,nan,nan,nan,nan,-2.0
0.1,5.7924e-05,1726.4001104896072,2.4,nan,nan,nan,nan,nan,nan,-0.95
0.1,5.79386e-05,1725.9650733707754,2.3,nan,nan,nan,nan,nan,nan,0.1
0.1,5.79329e-05,1726.134890537156,2.2,nan,nan,nan,nan,nan,nan,0.48
0.1,5.79075e-05,1726.8920260760697,2.5,nan,nan,nan,nan,nan,nan,0.86
0.1,5.79203e-05,1726.5103944558298,2.3,nan,nan,nan,nan,nan,nan,1.2400000000000002
0.1,5.73497e-05,1743.6882843327867,2.1,nan,nan,nan,nan,nan,nan,1.62
0.1,5.73686e-05,1743.1138288192496,1.9,nan,nan,nan,nan,nan,nan,2.0
0.1,5.73626e-05,1743.2961546373422,1.9,nan,nan,nan,nan,nan,nan,1.05
0.1,5.73954e-05,1742.2999055673451,2.1,nan,nan,nan,nan,nan,nan,0.1
