#Procedure: <__main__.SpinLabMeasurement>
#Parameters:
#	Analyzer address: None
#	DAQ address: Dev4/ao0
#	Gaussmeter address: GPIB1::12::INSTR
#	Generator address: None
#	LF Generator address: None
#	Lockin address: None
#	Multimeter address: None
#	Pulse generator address: GPIB1::23::INSTR
#	Relay address: None
#	RotationStation address: COM4
#	Sourcemeter address: GPIB1::26::INSTR
#	Switch address: None
#	Set Constant Field Value: 0 Oe
#	Delay Bias: 1 s
#	Delay Field: 0.5 s
#	Delay Lockin: 0.1 s
#	Delay sourcemeter measurement: 1 s
#	Set Field Bias Value: 0 Oe
#	Field Calibration Constant: -0.00272459
#	Field sweep step: 50 Oe
#	Gaussmeter Range: 5
#	Gaussmeter Resolution: 3 digits
#	Generator Frequency: 1e+09 Hz
#	Generator Power: -20 dBm
#	Hold the field after measurement: False
#	LF Generator Amplitude: 2 V
#	LF Generator Frequency: 330 Hz
#	Lockin Autophase: False
#	Lockin Average: 20
#	Lockin Channel 1: X
#	Lockin Channel 2: Y
#	Lockin Dynamic Reserve: Normal
#	Lockin Frequency: 384 Hz
#	Lockin Harmonic: 1
#	Lockin Input Connection: A
#	Lockin Input Coupling: AC
#	Lockin Reference Source: Internal
#	Lockin Sensitivity: 50 uV/pA
#	Lockin Sine Amplitude: 5 V
#	Lockin Time Constant: 30 ms
#	Mode: ResistanceMode
#	Use relays: True
#	FMR Mode: V-FMR
#	Harmonic mode: Field harmonic
#	4-points: False
#	Multimeter autorange: True
#	Multimeter average: 1
#	Multimeter function: DCV
#	Multimeter NPLC: 10
#	Multimeter range: 10
#	Multimeter resolution: 0.01
#	pulsegenerator channel: Channel A
#	Pulsegenerator compliance: 0.5
#	pulsegenerator duration: 0.005
#	pulsegenerator offset: 0
#	pulsegenerator pulsetype: VOLT
#	Pulsegenerator sourcerange: 5
#	Remagnetize sample: True
#	Remagnetization time: 2 s
#	Remagnetization value: -300 Oe
#	Remanency correction: True
#	Return the rotationstation: False
#	Rotation axis: Polar
#	Azimuthal constant angle: 0
#	Polar constant angle: 0
#	Sample name: 12102f_2,2u
#	Vector Analyzer: VectorAnalyzer
#	Automatic Station: False
#	Set azimuthal angle: 90 Deg
#	Magnetic Field: DAQ
#	Set Constant Field Value: 10 Oe
#	Set Constant Field Value: 0 Oe
#	Gaussmeter: Lakeshore
#	RF Generator: Agilent
#	Kriostat: False
#	LF Generator: SR830
#	Lockin: SR830
#	Multimeter: none
#	Set polar angle: 0 Deg
#	Pulse Generator: Agilent 2912
#	External relay: none
#	Rotation Station: False
#	Rotation Station for constant angle: True
#	Sourcemeter: Keithley 2636
#	Switch: False
#	Sourcemeter average: 1
#	Sourcemeter bias: 0.1
#	Sourcemeter CH: Channel A
#	Sourcemeter compliance: 0.1
#	Sourcemeter limit: 2
#	Sourcemeter NPLC: 0.1
#	Sourcemeter Source: VOLT
#	Vector: -300,50,300,50,-300
#Data:
Voltage (V),Current (A),Resistance (ohm),Field (Oe),Frequency (Hz),X (V),Y (V),Phase,Polar angle (deg),Azimuthal angle (deg),Applied Voltage (V)
0.1,1.32443e-05,7550.417915631631,-97.4,nan,nan,nan,nan,nan,nan,nan
0.1,1.32335e-05,7556.579891940908,-290.7,nan,nan,nan,nan,nan,nan,nan
0.1,1.32197e-05,7564.468180064601,-319.7,nan,nan,nan,nan,nan,nan,nan
0.1,1.3205e-05,7572.889057175313,-307.1,nan,nan,nan,nan,nan,nan,nan
0.1,1.3196e-05,7578.053955744165,-294.0,nan,nan,nan,nan,nan,nan,nan
0.1,1.31811e-05,7586.62023655082,-280.7,nan,nan,nan,nan,nan,nan,nan
0.1,1.31622e-05,7597.514093388643,-268.2,nan,nan,nan,nan,nan,nan,nan
0.1,1.31387e-05,7611.103077168975,-254.7,nan,nan,nan,nan,nan,nan,nan
0.1,1.31264e-05,7618.235007313506,-241.2,nan,nan,nan,nan,nan,nan,nan
0.1,1.3101e-05,7633.005114113426,-227.9,nan,nan,nan,nan,nan,nan,nan
0.1,1.30695e-05,7651.402119438387,-214.3,nan,nan,nan,nan,nan,nan,nan
0.1,1.3041e-05,7668.1236101525965,-200.9,nan,nan,nan,nan,nan,nan,nan
0.1,1.30026e-05,7690.769538400013,-188.2,nan,nan,nan,nan,nan,nan,nan
0.1,1.29414e-05,7727.139258503717,-174.7,nan,nan,nan,nan,nan,nan,nan
0.1,1.28831e-05,7762.106946309506,-161.0,nan,nan,nan,nan,nan,nan,nan
0.1,1.28161e-05,7802.685684412575,-147.4,nan,nan,nan,nan,nan,nan,nan
0.1,1.25386e-05,7975.372051106184,-133.9,nan,nan,nan,nan,nan,nan,nan
0.1,1.23666e-05,8086.296961169603,-121.0,nan,nan,nan,nan,nan,nan,nan
0.1,1.21894e-05,8203.849246066255,-106.2,nan,nan,nan,nan,nan,nan,nan
0.1,1.19786e-05,8348.220994106156,-93.5,nan,nan,nan,nan,nan,nan,nan
0.1,1.16876e-05,8556.076525548446,-80.0,nan,nan,nan,nan,nan,nan,nan
0.1,1.10433e-05,9055.26427788795,-66.0,nan,nan,nan,nan,nan,nan,nan
0.1,1.05737e-05,9457.42739060121,-52.1,nan,nan,nan,nan,nan,nan,nan
0.1,9.48973e-06,10537.707606011973,-38.6,nan,nan,nan,nan,nan,nan,nan
0.1,9.23709e-06,10825.920284418578,-24.7,nan,nan,nan,nan,nan,nan,nan
0.1,7.96876e-06,12549.003860073588,-12.0,nan,nan,nan,nan,nan,nan,nan
0.1,7.72705e-06,12941.549491720643,1.6,nan,nan,nan,nan,nan,nan,nan
0.1,6.9855e-06,14315.36754706177,15.5,nan,nan,nan,nan,nan,nan,nan
0.1,6.96863e-06,14350.022888286507,29.4,nan,nan,nan,nan,nan,nan,nan
0.1,7.00242e-06,14280.77721701926,43.2,nan,nan,nan,nan,nan,nan,nan
0.1,7.1102e-06,14064.301988692301,57.0,nan,nan,nan,nan,nan,nan,nan
0.1,7.31999e-06,13661.220848662362,71.0,nan,nan,nan,nan,nan,nan,nan
0.1,7.63948e-06,13089.896170943572,84.1,nan,nan,nan,nan,nan,nan,nan
