#Procedure: <__main__.SpinLabMeasurement>
#Parameters:
#	Analyzer address: None
#	DAQ address: Dev4/ao0
#	Gaussmeter address: GPIB1::12::INSTR
#	Generator address: None
#	LF Generator address: None
#	Lockin address: None
#	Multimeter address: None
#	Pulse generator address: GPIB1::23::INSTR
#	Relay address: None
#	RotationStation address: COM4
#	Sourcemeter address: GPIB1::26::INSTR
#	Switch address: None
#	Set Constant Field Value: 0 Oe
#	Delay Bias: 1 s
#	Delay Field: 0.5 s
#	Delay Lockin: 0.1 s
#	Delay sourcemeter measurement: 1 s
#	Set Field Bias Value: 0 Oe
#	Field Calibration Constant: -0.00272459
#	Field sweep step: 50 Oe
#	Gaussmeter Range: 5
#	Gaussmeter Resolution: 3 digits
#	Generator Frequency: 1e+09 Hz
#	Generator Power: -20 dBm
#	Hold the field after measurement: False
#	LF Generator Amplitude: 2 V
#	LF Generator Frequency: 330 Hz
#	Lockin Autophase: False
#	Lockin Average: 20
#	Lockin Channel 1: X
#	Lockin Channel 2: Y
#	Lockin Dynamic Reserve: Normal
#	Lockin Frequency: 384 Hz
#	Lockin Harmonic: 1
#	Lockin Input Connection: A
#	Lockin Input Coupling: AC
#	Lockin Reference Source: Internal
#	Lockin Sensitivity: 50 uV/pA
#	Lockin Sine Amplitude: 5 V
#	Lockin Time Constant: 30 ms
#	Mode: ResistanceMode
#	Use relays: True
#	FMR Mode: V-FMR
#	Harmonic mode: Field harmonic
#	4-points: False
#	Multimeter autorange: True
#	Multimeter average: 1
#	Multimeter function: DCV
#	Multimeter NPLC: 10
#	Multimeter range: 10
#	Multimeter resolution: 0.01
#	pulsegenerator channel: Channel A
#	Pulsegenerator compliance: 0.5
#	pulsegenerator duration: 0.005
#	pulsegenerator offset: 0
#	pulsegenerator pulsetype: VOLT
#	Pulsegenerator sourcerange: 5
#	Remagnetize sample: True
#	Remagnetization time: 2 s
#	Remagnetization value: -300 Oe
#	Remanency correction: True
#	Return the rotationstation: True
#	Rotation axis: Polar
#	Azimuthal constant angle: 0
#	Polar constant angle: 0
#	Sample name: 12102f_3,1u
#	Vector Analyzer: VectorAnalyzer
#	Automatic Station: False
#	Set azimuthal angle: 90 Deg
#	Magnetic Field: DAQ
#	Set Constant Field Value: 10 Oe
#	Set Constant Field Value: 0 Oe
#	Gaussmeter: Lakeshore
#	RF Generator: Agilent
#	Kriostat: False
#	LF Generator: SR830
#	Lockin: SR830
#	Multimeter: none
#	Set polar angle: 0 Deg
#	Pulse Generator: Agilent 2912
#	External relay: none
#	Rotation Station: False
#	Rotation Station for constant angle: True
#	Sourcemeter: Keithley 2636
#	Switch: False
#	Sourcemeter average: 1
#	Sourcemeter bias: 0.1
#	Sourcemeter CH: Channel A
#	Sourcemeter compliance: 0.1
#	Sourcemeter limit: 2
#	Sourcemeter NPLC: 0.1
#	Sourcemeter Source: VOLT
#	Vector: -300,50,300,50,-300
#Data:
Voltage (V),Current (A),Resistance (ohm),Field (Oe),Frequency (Hz),X (V),Y (V),Phase,Polar angle (deg),Azimuthal angle (deg),Applied Voltage (V)
0.1,2.01507e-05,4962.606758077884,-96.4,nan,nan,nan,nan,nan,nan,nan
0.1,2.01358e-05,4966.278965822068,-291.4,nan,nan,nan,nan,nan,nan,nan
0.1,2.01153e-05,4971.340223610883,-319.9,nan,nan,nan,nan,nan,nan,nan
0.1,2.01054e-05,4973.788136520538,-307.1,nan,nan,nan,nan,nan,nan,nan
0.1,2.0087e-05,4978.344202718176,-293.9,nan,nan,nan,nan,nan,nan,nan
0.1,2.00699e-05,4982.585862410874,-280.8,nan,nan,nan,nan,nan,nan,nan
0.1,2.00486e-05,4987.879452929382,-268.6,nan,nan,nan,nan,nan,nan,nan
0.1,2.00323e-05,4991.938020097542,-255.0,nan,nan,nan,nan,nan,nan,nan
0.1,2.00031e-05,4999.225120106384,-241.4,nan,nan,nan,nan,nan,nan,nan
0.1,1.99754e-05,5006.157573815794,-227.9,nan,nan,nan,nan,nan,nan,nan
0.1,1.99546e-05,5011.375823118479,-214.2,nan,nan,nan,nan,nan,nan,nan
0.1,1.9908e-05,5023.106288929074,-200.7,nan,nan,nan,nan,nan,nan,nan
0.1,1.97824e-05,5054.9983824005185,-188.2,nan,nan,nan,nan,nan,nan,nan
0.1,1.94869e-05,5131.652546069411,-174.6,nan,nan,nan,nan,nan,nan,nan
0.1,1.93537e-05,5166.97065677364,-160.8,nan,nan,nan,nan,nan,nan,nan
0.1,1.92072e-05,5206.380940480653,-146.8,nan,nan,nan,nan,nan,nan,nan
0.1,1.88408e-05,5307.630249246316,-133.3,nan,nan,nan,nan,nan,nan,nan
0.1,1.85166e-05,5400.559497963989,-120.4,nan,nan,nan,nan,nan,nan,nan
0.1,1.82565e-05,5477.501163968997,-105.5,nan,nan,nan,nan,nan,nan,nan
0.1,1.79825e-05,5560.962046434033,-92.6,nan,nan,nan,nan,nan,nan,nan
0.1,1.76832e-05,5655.0850524791895,-78.8,nan,nan,nan,nan,nan,nan,nan
0.1,1.73323e-05,5769.574724647046,-65.1,nan,nan,nan,nan,nan,nan,nan
0.1,1.68752e-05,5925.855693562151,-51.2,nan,nan,nan,nan,nan,nan,nan
0.1,1.62657e-05,6147.90633049915,-37.6,nan,nan,nan,nan,nan,nan,nan
0.1,1.5751e-05,6348.803250587265,-24.6,nan,nan,nan,nan,nan,nan,nan
0.1,1.51983e-05,6579.683254048151,-10.8,nan,nan,nan,nan,nan,nan,nan
0.1,1.42851e-05,7000.301012943557,3.1,nan,nan,nan,nan,nan,nan,nan
0.1,1.39636e-05,7161.476983012977,16.8,nan,nan,nan,nan,nan,nan,nan
0.1,1.34931e-05,7411.195351698276,30.7,nan,nan,nan,nan,nan,nan,nan
0.1,1.31117e-05,7626.776085480907,44.6,nan,nan,nan,nan,nan,nan,nan
0.1,9.91587e-06,10084.843790812101,58.5,nan,nan,nan,nan,nan,nan,nan
0.1,9.9898e-06,10010.210414622916,71.3,nan,nan,nan,nan,nan,nan,nan
0.1,1.02603e-05,9746.303714316346,85.1,nan,nan,nan,nan,nan,nan,nan
