#Procedure: <__main__.SpinLabMeasurement>
#Parameters:
#	Analyzer address: None
#	DAQ address: Dev4/ao0
#	Gaussmeter address: GPIB1::12::INSTR
#	Generator address: None
#	LF Generator address: None
#	Lockin address: None
#	Multimeter address: None
#	Pulse generator address: GPIB1::26::INSTR
#	Relay address: None
#	RotationStation address: COM4
#	Sourcemeter address: GPIB1::23::INSTR
#	Switch address: None
#	Set Constant Field Value: 0 Oe
#	Delay Bias: 1 s
#	Delay Field: 0.5 s
#	Delay Lockin: 0.1 s
#	Delay sourcemeter measurement: 1 s
#	Set Field Bias Value: -260 Oe
#	Field Calibration Constant: -0.00272459
#	Field sweep step: 50 Oe
#	Gaussmeter Range: 5
#	Gaussmeter Resolution: 3 digits
#	Generator Frequency: 1e+09 Hz
#	Generator Power: -20 dBm
#	Hold the field after measurement: False
#	LF Generator Amplitude: 2 V
#	LF Generator Frequency: 330 Hz
#	Lockin Autophase: False
#	Lockin Average: 20
#	Lockin Channel 1: X
#	Lockin Channel 2: Y
#	Lockin Dynamic Reserve: Normal
#	Lockin Frequency: 384 Hz
#	Lockin Harmonic: 1
#	Lockin Input Connection: A
#	Lockin Input Coupling: AC
#	Lockin Reference Source: Internal
#	Lockin Sensitivity: 50 uV/pA
#	Lockin Sine Amplitude: 5 V
#	Lockin Time Constant: 30 ms
#	Mode: ResistanceMode
#	Use relays: True
#	FMR Mode: V-FMR
#	Harmonic mode: Field harmonic
#	4-points: False
#	Multimeter autorange: True
#	Multimeter average: 1
#	Multimeter function: DCV
#	Multimeter NPLC: 10
#	Multimeter range: 10
#	Multimeter resolution: 0.01
#	pulsegenerator channel: Channel A
#	Pulsegenerator compliance: 0.2
#	pulsegenerator duration: 0.001
#	pulsegenerator offset: 0
#	pulsegenerator pulsetype: VOLT
#	Pulsegenerator sourcerange: 5
#	Remagnetize sample: False
#	Remagnetization time: 10 s
#	Remagnetization value: 500 Oe
#	Remanency correction: True
#	Return the rotationstation: False
#	Rotation axis: Polar
#	Azimuthal constant angle: 0
#	Polar constant angle: 0
#	Sample name: V2979b_j14
#	Vector Analyzer: VectorAnalyzer
#	Automatic Station: False
#	Set azimuthal angle: 0 Deg
#	Magnetic Field: DAQ
#	Set Constant Field Value: 10 Oe
#	Set Constant Field Value: 0 Oe
#	Gaussmeter: Lakeshore
#	RF Generator: Agilent
#	Kriostat: False
#	LF Generator: SR830
#	Lockin: SR830
#	Multimeter: none
#	Set polar angle: 90 Deg
#	Pulse Generator: Keithley 2636
#	External relay: none
#	Rotation Station: False
#	Rotation Station for constant angle: True
#	Sourcemeter: Agilent 2912
#	Switch: False
#	Sourcemeter average: 1
#	Sourcemeter bias: 0.3
#	Sourcemeter CH: Channel A
#	Sourcemeter compliance: 0.1
#	Sourcemeter limit: 2
#	Sourcemeter NPLC: 0.1
#	Sourcemeter Source: VOLT
#	Vector: -1000,50,1000,50,-1000
#Data:
Voltage (V),Current (A),Resistance (ohm),Field (Oe),Frequency (Hz),X (V),Y (V),Phase,Polar angle (deg),Azimuthal angle (deg),Applied Voltage (V)
0.3,0.00243122,123.3948388052089,-883.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00243052,123.43037703865839,-1086.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.0024285,123.53304508956145,-1099.1,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242879,123.51829511814523,-1055.1,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242815,123.55085147128472,-1010.1,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242816,123.55034264628361,-965.1,nan,nan,nan,nan,nan,nan,nan
0.3,0.0024275,123.58393408856848,-919.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242729,123.59462610565693,-874.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242763,123.5773161478479,-831.5,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242611,123.65473948007303,-785.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242663,123.62824163551922,-739.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242712,123.6032829031939,-693.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242655,123.63231748779131,-647.5,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242551,123.68532803410416,-601.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242675,123.6221283609766,-555.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242477,123.72307476585407,-508.9,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242403,123.76084454400315,-466.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242319,123.80374630136308,-420.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242378,123.77360981607241,-373.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242336,123.79506140235046,-326.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242525,123.69858777445624,-280.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242529,123.69654762935565,-233.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242993,123.46034659434635,-187.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242584,123.66850245688092,-140.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00243121,123.39534635017131,-97.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00243169,123.37098890072338,-50.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00243632,123.13653378866486,-4.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.00260507,115.16005328071797,42.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301233,99.5906822957644,88.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301372,99.54474868269115,135.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301344,99.55399808856323,181.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301695,99.43817431511957,227.5,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301333,99.55763225401799,270.9,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301371,99.54507898902017,317.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301634,99.45828388046439,363.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301275,99.57679860592482,410.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301478,99.50974863837494,456.9,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301507,99.5001774419831,503.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301436,99.52361363606204,549.9,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301663,99.44872258115844,596.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301754,99.41873181465697,642.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301671,99.44608530485196,685.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301757,99.41774341605995,731.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301707,99.43421929222721,777.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301631,99.4592730853261,824.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301832,99.39303983673035,870.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301907,99.36834853117018,917.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.0030169,99.4398223341841,963.5,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301725,99.42828734775043,1010.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301685,99.44147040787576,1053.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301596,99.47081526280189,1096.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301787,99.40786051089012,1084.1,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301596,99.47081526280189,1041.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301672,99.44575565514863,998.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301587,99.47378368430999,954.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301711,99.4329010211759,910.1,nan,nan,nan,nan,nan,nan,nan
0.3,0.0030147,99.5123892924669,865.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301387,99.53979435078486,823.9,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301648,99.45366785127034,779.5,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301563,99.48170034122222,734.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301379,99.54243659976308,689.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301321,99.56159710076629,645.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301332,99.55796264585241,600.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301544,99.48796858833205,558.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301349,99.5523462828813,513.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301349,99.5523462828813,468.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301495,99.50413771372659,423.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301393,99.53781275610248,377.9,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301318,99.56258836179717,332.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301355,99.55036418841566,287.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00301422,99.52823616059875,242.1,nan,nan,nan,nan,nan,nan,nan
0.3,0.00269681,111.2425421145724,199.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00267213,112.26998686441154,151.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00267011,112.3549217073454,109.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.0025132,119.36972783702052,64.1,nan,nan,nan,nan,nan,nan,nan
0.3,0.00248732,120.61174275927505,18.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00248585,120.6830661544341,-26.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00248376,120.7846168711953,-72.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00243736,123.08399251649325,-118.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00243788,123.05773869099382,-160.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00243371,123.26858993059979,-209.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00243149,123.38113666928508,-252.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00243084,123.41412844942488,-298.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00243238,123.33599190915892,-344.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242197,123.86610899391817,-389.5,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242302,123.8124324190473,-435.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242132,123.8993606792989,-480.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242406,123.75931288829484,-523.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242331,123.79761565792242,-572.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.0024237,123.77769525931427,-615.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242356,123.78484543398966,-660.9,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242311,123.80783373433314,-706.9,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242302,123.8124324190473,-752.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242447,123.73838405919643,-798.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242347,123.78944241108823,-844.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.002425,123.71134020618555,-890.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242508,123.70725914196645,-933.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.0024258,123.67054167697253,-981.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242349,123.78842083111546,-1024.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.00242393,123.76595033684966,-1069.7,nan,nan,nan,nan,nan,nan,nan
