#Procedure: <__main__.SpinLabMeasurement>
#Parameters:
#	Analyzer address: None
#	DAQ address: Dev4/ao0
#	Gaussmeter address: GPIB1::12::INSTR
#	Generator address: None
#	LF Generator address: None
#	Lockin address: None
#	Multimeter address: None
#	Pulse generator address: GPIB1::23::INSTR
#	Relay address: None
#	RotationStation address: COM4
#	Sourcemeter address: GPIB1::26::INSTR
#	Switch address: None
#	Set Constant Field Value: 0 Oe
#	Delay Bias: 1 s
#	Delay Field: 0.5 s
#	Delay Lockin: 0.1 s
#	Delay sourcemeter measurement: 1 s
#	Set Field Bias Value: 100 Oe
#	Field Calibration Constant: -0.00272459
#	Field sweep step: 50 Oe
#	Gaussmeter Range: 5
#	Gaussmeter Resolution: 3 digits
#	Generator Frequency: 1e+09 Hz
#	Generator Power: -20 dBm
#	Hold the field after measurement: False
#	LF Generator Amplitude: 2 V
#	LF Generator Frequency: 330 Hz
#	Lockin Autophase: False
#	Lockin Average: 20
#	Lockin Channel 1: X
#	Lockin Channel 2: Y
#	Lockin Dynamic Reserve: Normal
#	Lockin Frequency: 384 Hz
#	Lockin Harmonic: 1
#	Lockin Input Connection: A
#	Lockin Input Coupling: AC
#	Lockin Reference Source: Internal
#	Lockin Sensitivity: 50 uV/pA
#	Lockin Sine Amplitude: 5 V
#	Lockin Time Constant: 30 ms
#	Mode: ResistanceMode
#	Use relays: True
#	FMR Mode: V-FMR
#	Harmonic mode: Field harmonic
#	4-points: False
#	Multimeter autorange: True
#	Multimeter average: 1
#	Multimeter function: DCV
#	Multimeter NPLC: 10
#	Multimeter range: 10
#	Multimeter resolution: 0.01
#	pulsegenerator channel: Channel A
#	Pulsegenerator compliance: 0.2
#	pulsegenerator duration: 0.001
#	pulsegenerator offset: 0
#	pulsegenerator pulsetype: VOLT
#	Pulsegenerator sourcerange: 5
#	Remagnetize sample: False
#	Remagnetization time: 10 s
#	Remagnetization value: 500 Oe
#	Remanency correction: True
#	Return the rotationstation: False
#	Rotation axis: Polar
#	Azimuthal constant angle: 0
#	Polar constant angle: 0
#	Sample name: V2979b_j14
#	Vector Analyzer: VectorAnalyzer
#	Automatic Station: False
#	Set azimuthal angle: 0 Deg
#	Magnetic Field: DAQ
#	Set Constant Field Value: 10 Oe
#	Set Constant Field Value: 0 Oe
#	Gaussmeter: Lakeshore
#	RF Generator: Agilent
#	Kriostat: False
#	LF Generator: SR830
#	Lockin: SR830
#	Multimeter: none
#	Set polar angle: 90 Deg
#	Pulse Generator: Agilent 2912
#	External relay: none
#	Rotation Station: False
#	Rotation Station for constant angle: True
#	Sourcemeter: Keithley 2636
#	Switch: False
#	Sourcemeter average: 1
#	Sourcemeter bias: 0.3
#	Sourcemeter CH: Channel A
#	Sourcemeter compliance: 0.1
#	Sourcemeter limit: 2
#	Sourcemeter NPLC: 0.1
#	Sourcemeter Source: VOLT
#	Vector: -1000,50,1000,50,-1000
#Data:
Voltage (V),Current (A),Resistance (ohm),Field (Oe),Frequency (Hz),X (V),Y (V),Phase,Polar angle (deg),Azimuthal angle (deg),Applied Voltage (V)
0.3,0.00154808,193.78843470621672,-882.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00154869,193.71210506944578,-1086.1,nan,nan,nan,nan,nan,nan,nan
0.3,0.00154904,193.6683365181015,-1098.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00154845,193.74212922600017,-1054.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00154912,193.65833505474075,-1009.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00154859,193.7246140037066,-964.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00154865,193.71710844929456,-919.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.001549,193.67333763718526,-873.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00154918,193.65083463509725,-831.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00154908,193.66333565729335,-785.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.00154963,193.59460000129062,-739.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00155155,193.35503206470946,-693.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00156289,191.95208875864583,-647.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.00156432,191.77661859466093,-600.9,nan,nan,nan,nan,nan,nan,nan
0.3,0.00164985,181.83471224656788,-554.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00165208,181.58926928478039,-511.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00165593,181.16707831852796,-465.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00220161,136.26391595241662,-419.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00225162,133.23740240360272,-372.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00225353,133.12447582237644,-326.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00226255,132.59375483414732,-282.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00226468,132.46904639949133,-236.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00229891,130.49662666220078,-189.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00230169,130.33901176961277,-143.1,nan,nan,nan,nan,nan,nan,nan
0.3,0.00230164,130.34184320745206,-96.4,nan,nan,nan,nan,nan,nan,nan
0.3,0.00232331,129.1261174789417,-49.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.00232509,129.02726346076923,-2.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00232589,128.98288397129699,40.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00232692,128.92579031509462,90.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00232686,128.92911477269797,132.8,nan,nan,nan,nan,nan,nan,nan
0.3,0.00232853,128.83664801398305,179.6,nan,nan,nan,nan,nan,nan,nan
0.3,0.0023274,128.89920082495487,226.0,nan,nan,nan,nan,nan,nan,nan
0.3,0.00232926,128.79627006001905,272.7,nan,nan,nan,nan,nan,nan,nan
0.3,0.00232989,128.76144367330647,319.2,nan,nan,nan,nan,nan,nan,nan
0.3,0.00232972,128.77083941417854,362.3,nan,nan,nan,nan,nan,nan,nan
0.3,0.00232934,128.7918466174968,412.1,nan,nan,nan,nan,nan,nan,nan
